transliteration,normalization,remarks
Ur-{d}EN,Ur.{d}EN[]PN,8 citations (broken context)
Ur-{d}Eš₄-tar₂,UrEštarak[]PN,
Ur-{d}En-e-DU,UrEngalduduk[]PN,UDT 091 o vi 31' (copy); CDLI: ur-{d}en-gal-du-du (coll.?)
Ur-{d}En-gal-du,UrEngalduk[]PN,= UrEngalduduk?; PDT 1 014 o 5 (no copy/photo)
Ur-{d}En-gal-du-du,UrEngalduduk[]PN,87 Ur 3 citations
Ur-{d}En-ki,UrEnkik[]PN,
Ur-{d}En-lil₂,UrEnlilak[]PN,
Ur-{d}En-lil₂-la₂,UrEnlilak[]PN,
Ur-{d}En-lil₂-la₂-še₃,UrEnlilak[]PN,
Ur-{d}En-lil₂-la₂-ka-še₃,UrEnlilak[]PN,
Ur-{d}En-lil₂-la₂-ka-ta,UrEnlilak[]PN,
Ur-{d}En-lil₂-la₂-ke₄,UrEnlilak[]PN,
Ur-{d}En-lil₂-la₂-ta,UrEnlilak[]PN,
Ur-{d}En-lil₂-ta,UrEnlilak[]PN,
Ur-{d}GIR₃,UrŠakkanak[]PN,uncertain
Ur-{d}Geštin-an-ka-ke₄,UrŊeštinanakak[]PN,
Ur-{d}Gibil₆,UrGibilak[]PN,
Ur-{d}Gilgames₂,UrBilgamesak[]PN,
Ur-{d}Gu-la-ma-ta,UrGulamak[]PN,AJSL 29 135 no. 6 o 7: ki Ur-{d}Gu-la-ma-ta (copy)
Ur-{d}Gublaga,UrGublagak[]PN,
Ur-{d}Ha-ia₃,UrHayak[]PN,
Ur-{d}Hendur-sag,UrHendursaŋak[]PN,
Ur-{d}Hendur-sag-ka,UrHendursaŋak[]PN,
Ur-{d}Iškur,UrIškurak[]PN,
Ur-{d}Iškur-ta,UrIškurak[]PN,
Ur-{d}Ištaran,UrIštaranak[]PN,
Ur-{d}Ištaran-še₃,UrIštaranak[]PN,
Ur-{d}Ig-alim,UrIgalimak[]PN,
Ur-{d}Ig-alim-ka-ta,UrIgalimak[]PN,
Ur-{d}Ig-alim-ta,UrIgalimak[]PN,
Ur-{d}Inanna,UrInanakak[]PN,
Ur-{d}Irhan,UrIrhanak[]PN,
Ur-{d}Istaran,UrIštaranak[]PN,
Ur-{d}Ku₃-nun,UrKugnunak[]PN,
Ur-{d}Ku₃-nun-na,UrKugnunak[]PN,
Ur-{d}Ku₃-nun-na-ta,UrKugnunak[]PN,
Ur-{d}|LAGAB×HAL|,UrNammak[]RN,
Ur-{d}Lamma,UrLammarak[]PN,
Ur-{d}Lamma-še₃,UrLammarak[]PN,
Ur-{d}Lamma-ke₄,UrLammarak[]PN,
Ur-{d}Lamma-ta,UrLammarak[]PN,
Ur-{d}Li₉-si₄,UrLisinak[]PN,
Ur-{d}Li₉-si₄-ke₄,UrLisinak[]PN,
Ur-{d}Li₉-si₄-na,UrLisinak[]PN,
Ur-{d}Li₉-si₄-ra,UrLisinak[]PN,
Ur-{d}Li₉-si₄-ta,UrLisinak[]PN,
Ur-{d}Lu₂-lal₃,UrLulalak[]PN,
Ur-{d}Lugal-banda₃{da},UrLugalbandak[]PN,
Ur-{d}Lugal-banda₃{da}-ta,UrLugalbandak[]PN,
Ur-{d}Lugal-eden,UrLugaledenakak[]PN,
Ur-{d}Lugal-eden-ka,UrLugaledenakak[]PN,
Ur-{d}Lugal-eden-na,UrLugaledenakak[]PN,
Ur-{d}MUŠ,UrNirahak[]PN,
Ur-{d}Ma-PEŠ₂,Ur.{d}Ma.GIR₃×GAN₂@t[]PN,OrSP 47-49 045 r 1 (copy/photo)
Ur-{d}Namma,UrNammak[]RN,
Ur-{d}Namma-ka,UrNammak[]RN,
Ur-{d}Namma-ta,UrNammak[]RN,
Ur-{d}Nanše,UrNanšek[]PN,
Ur-{d}Nanše-ta,UrNanšek[]PN,
Ur-{d}Nanše-{d}Nin-a-zu,UrNinazuk[]PN,uncertain; TCL 2 5495 r 8: niŋ₂-ka₉ Ur-<<{d}Nanše>>-{d}Nin-a-zu (copy/photo)
Ur-{d}Nanibgal,UrNanibgalak[]PN,
Ur-{d}Nanna,UrNannak[]PN,
Ur-{d}Nanna-ta,UrNannak[]PN,
Ur-{d}Nin-AB,Ur.{d}Nin.AB[]PN,OrSP 05 54 18 Wengler 26 o 8 (no copy/photo)
Ur-{d}Nin-|EZEM×X|,Ur.{d}Nin.EZEM×X[]PN,UDT 091 o iii 4' (copy)
ur-{d}nin-mar{ki},Ur.{d}Nin.MAR.KI[]PN,
Ur-{d}Nin-MAR.KI,Ur.{d}Nin.MAR.KI[]PN,
Ur-{d}Nin-MAR.KI-ka,Ur.{d}Nin.MAR.KI[]PN,
Ur-{d}Nin-MAR.KIi-ka,Ur.{d}Nin.MAR.KI[]PN,
Ur-{d}Nin-PA,Ur.{d}Nin.PA[]PN,note: Ur-{d}Nin-PA-da (Girsu; 5 citations)
Ur-{d}Nin-a-zu,UrNinazuk[]PN,
Ur-{d}Nin-an-si₄-na,UrNinsiʾanakak[]PN,
Ur-{d}Nin-šubur,UrNinšuburakak[]PN,
Ur-{d}Nin-da,UrNindakak[]PN,
Ur-{d}Nin-da-ta,UrNindakak[]PN,
Ur-{d}Nin-e₂-gal-igi-du,UrNinegalakakpalil[]PN,uncertain; Nisaba 08 034 r ii 5 (no copy/photo)
Ur-{d}Nin-ezem,UrNinezemakak[]PN,
Ur-{d}Nin-|EZEM×xLA|,UrNinezemakak[]PN,Kyoto 12 o 6: mu-DU Ur-{d}ezem? (so copy/photo probly shows EZEN)
Ur-{d}Nin-gal,UrNingalak[]PN,
Ur-{d}Nin-giš-zi-da,UrNinŋešzidakak[]PN,
Ur-{d}Nin-giš-zi-da-ta,UrNinŋešzidakak[]PN,
Ur-{d}Nin-gidri,Ur.{d}Nin.PA[]PN,
Ur-{d}Nin-gir₂-su,UrNinŋirsukak[]PN,
Ur-{d}Nin-gublaga,UrNingublagakak[]PN,
Ur-{d}Nin-ildum₃,UrNinildumakak[]PN,
Ur-{d}Nin-kur-ra,UrNinkurakak[]PN,ensi2 Šuruppak (14 Ur 3 citations)
Ur-{d}Nin-kur₂-ra,UrNinkurakak[]PN,ensi2 Šuruppak; SET 068 o ii 5 (KUR2 for KUR?; no copy/photo)
Ur-{d}Nin-lil₂,UrNinlilak[]PN,
Ur-{d}Nin-mah,UrNinmahak[]PN,
Ur-{d}Nin-mar-ki,Ur.{d}Nin.MAR.KI[]PN,
Ur-{d}Nin-mu₂,UrNinmuk[]PN,
Ur-{d}Nin-mu₂-ta,UrNinmuk[]PN,
Ur-{d}Nin-mug,UrNinmugak[]PN,
Ur-{d}Nin-sa-za,UrNinsazakak[]PN,uncertain
Ur-{d}Nin-si₄-an-na,UrNinsiʾanakak[]PN,
Ur-{d}Nin-si₄-an-na-še₃,UrNinsiʾanakak[]PN,
Ur-{d}Nin-si₄-an-na-ta,UrNinsiʾanakak[]PN,
Ur-{d}Nin-su,UrNinsuk[]PN,uncertain (226 Ur 3 citations)
Ur-{d}Nin-su-ta,UrNinsuk[]PN,
Ur-{d}Nin-sun₂,UrNinsumunakak[]PN,
Ur-{d}Nin-sun₂-ta,UrNinsumunakak[]PN,
Ur-{d}Nin-tin-ug₅-ga,UrNintinugak[]PN,UrNintilugak?
Ur-{d}Nin-tu,UrNintudak[]PN,
Ur-{d}Nin-tu-ka,UrNintudak[]PN,
Ur-{d}Nin-tu-ta,UrNintudak[]PN,
Ur-{d}Nin-urta,UrNinurtak[]PN,
Ur-{d}Nin-zu,UrNinsuk[]PN,CS 16 79 HSM 07794 (SU; copy/photo); PDT 2 0913 o i 5' (no copy/photo)
Ur-{d}Nirah,UrNirahak[]PN,
Ur-{d}Nirah-ta,UrNirahak[]PN,
Ur-{d}Nisaba,UrNisabak[]PN,
Ur-{d}Nun-gal,UrNungalak[]PN,
Ur-{d}Nun-gal-ta,UrNungalak[]PN,
Ur-{d}Nuska,UrNuskak[]PN,
Ur-{d}Sahar-{d}Ba-u₂,UrSaharBaʾukak[]PN,uncertain
Ur-{d}Sahar-{d}Ba-u₂-ta,UrSaharBaʾukak[]PN,
Ur-{d}Saman₃,UrSamanak[]PN,
Ur-{d}Saman₄,UrSamanak[]PN,
Ur-{d}Saman₄-še₃,UrSamanak[]PN,
Ur-{d}Si₄-an-na,Uransiʾanak[]PN,Uransanak?
Ur-{d}Si₄-an-na-ta,Uransiʾanak[]PN,
Ur-{d}Simug,UrSimugak[]PN,
Ur-{d}Suen,UrSuʾenak[]PN,
Ur-{d}Suen-ka,UrSuʾenak[]PN,
Ur-{d}Suen-ta,UrSuʾenak[]PN,
Ur-{d}Tilla₂,UrTillak[]PN,
Ur-{d}Tum-ma-al,UrTummalak[]PN,
Ur-{d}Uš-mu,UrDamuk[]PN,CDLI P250484 o 2: nu-banda3 Ur-{d}Da-mu (photo)
Ur-{d}Utu,UrUtuk[]PN,
Ur-{d}Utu-ke₄,UrUtuk[]PN,
Ur-{d}Za-ba₄-ba₄,UrZababak[]PN,
Ur-{d}Za-ba₆-ba₆,UrZababak[]PN,typo; Ontario 1 168 r 3 (BA6 for BA4; copy/photo)
Ur-{d}šu-{d}suen-ta,UrŠuSuʾenak[]PN,
Ur-{d}šul-gi-ra,UrŠulgirak[]PN,
Ur-{d}d-nisaba-ta,UrNisabak[]PN,YOS 04 304 o 6: 1 udu ki Ur-{d}-<<AN>>-Nisaba-ta (copy)
Ur-{d}da-mu,UrDamuk[]PN,
Ur-{d}ha-ia₃,UrHayak[]PN,
Ur-{d}iškur,UrIškurak[]PN,
Ur-{d}lugal-banda₃,UrLugalbandak[]PN,
Ur-{d}lugal-eden-ka,UrLugaledenakak[]PN,
Ur-{d}suen,UrSuʾenak[]PN,
Ur-{giš}gigir,Urgigirak[]PN,
Ur-{giš}gigir-ta,Urgigirak[]PN,
Ur₂-ša-an{ki},Uršan[]SN,
Ur₂-ra-AN,Ur₂.ra.AN[]PN,
Ur₂-ra-dingir,Ur₂.ra.AN[]PN,
Ur₂-ri-mu-ta,Ureŋu[]PN,
Ur₃-re-ba-ab-du₁₁,Urebabdu[]PN,JCS 52 11 50 o 3: (DU11 for DU7?; copy/photo)
Ur₃-re-ba-ab-du₇,Urebabdu[]PN,
Ur₄-ša₃-ta-lu,Uršatalu[]PN,BCT 1 129 seal 1 (restored); all other citations Umma
Ur₄-ša₃-ta-lu₂,Uršatalu[]PN,BCT 1 129 r 1: DUB Ur4-ša3-ta-l[u2?] (copy/photo); all other citations Umma
Ur₄-ša₃-ta-lu₂-ni,Uršataluni[]PN,
Ur₅-ti,Hurti[]SN,Santag 7 175 r 3 (part of SH 48 year-name; copy)
Uri₅,Urim[]SN,
Uri₅-ki-ma,Urim[]SN,
Uri₅-ma-ke₄,Urim[]SN,
Uri₅-{ki}ma-ke₄,Urim[]SN,
Uri₅₇{ki}-ma,Urim[]SN,"typo; Fs. Pettinato 160, 167 09, 171 seal i 3 (copy/photo)"
Uri₅{ki},Urim[]SN,
Uri₅{ki}-MA-ma-ke₄,Urim[]SN,
Uri₅{ki}-am-ke₄,Urim[]SN,typo?; BPOA 7 2514 r 4 (AM for MA?; no copy/photo)
Uri₅{ki}-še₃,Urim[]SN,
Uri₅{ki}-du₁₀-ta,Urimdug[]PN,
Uri₅{ki}-e,LugalUrimekiʾaŋ[]PN,"TRU 349 o 3 (hypo? SS 01; copy/photo); cf, OrSP 47-49 144 o 7: ma2 Lugal-Uri5{ki}-e-ki-ag2 (SS 02; copy/photo)"
Uri₅{ki}-ke₄,Urim[]SN,
Uri₅{ki}-ke₄-ne,Urim[]SN,
Uri₅{ki}-ki-šar₂-mu,Urimkišarŋu[]PN,
Uri₅{ki}-ki-du₁₀,Urimkidug[]PN,
Uri₅{ki}-ki-du₁₀-ta,Urimkidug[]PN,
Uri₅{ki}-ki-tuš-du₁₀-ta,Urimkitušdug[]PN,
Uri₅{ki}-la,Urim[]SN,BCT 1 068 r 10 (LA for MA; copy/photo)
Uri₅{ki}-ma,Urim[]SN,
Uri₅{ki}-ma-še₃,Urim[]SN,
Uri₅{ki}-ma-ka,Urim[]SN,
Uri₅{ki}-ma-ka-še₃,Urim[]SN,
Uri₅{ki}-ma-ke₄,Urim[]SN,
Uri₅{ki}-ma-ke₄-ne,Urim[]SN,
Uri₅{ki}-ma-ke₄-ne-ka,Urim[]SN,
Uri₅{ki}-ma-ke₄-ne-ta,Urim[]SN,
Uri₅{ki}-ma-ta,Urim[]SN,
Uri₅{ki}-ta,Urim[]SN,
Uri₅{ki}:ma,Urim[]SN,
Uri₅{ki}ma-ke₄,Urim[]SN,
u₃-zi-nu-ri,Uzinuri[]PN,
Uru-na,Irinak[]PN,uncertain (hypo?)
Uru-ni-ba-ag₂,Irinebaʾaŋ[]PN,
Uru-sag-rig₇,Irisaŋrig[]SN,
Uru-sag-rig₇-ka,Irisaŋrig[]SN,
Uru-sag-rig₇-ta,Irisaŋrig[]SN,
Uru-sag-rig₇{ki},Irisaŋrig[]SN,
Uru-sag-rig₇{ki}-še₃,Irisaŋrig[]SN,
Uru-sag-rig₇{ki}-me,Irisaŋrig[]SN,
Uru-sag-rig₇{ki}-ta,Irisaŋrig[]SN,
Uru-sag-rig₈{ki}-ta,Irisaŋrig[]SN,
Urum₂{ki},Urum[]SN,all PD citations Urum8(Ur2xU2)
Urum₂{ki}-še₃,Urum[]SN,
Urum₂{ki}-ka,Urum[]SN,
Urum₂{ki}-ta,Urum[]SN,
Ur{d}En-lil₂-la₂,UrEnlilak[]PN,
Uz-ba-num₂,Uzbanum[]PN,Martu
Wa-a-ta₂-ru-um,Watarum[]PN,ensi2 Marad
Wa-ad-ra-ad,Watrat[]PN,
Wa-at-ra-at,Watrat[]PN,
Wa-at-ra-at-ha-tum,Watrathaṭṭum[]PN,
Wa-la-la,Walala[]PN,
Wa-li-li,Walili[]PN,
Wa-me-ti,Wameti[]PN,
Wa-qar-AN{d}Suen,WaqarŠuSuʾen[]PN,AUCT 2 017 o 1: 1 maš2 Wa-qar-{d}Šu#/-{d}EN.ZU (copy/so photo)
Wa-qar-{d}Šu-{d}Suen,WaqarŠuSuʾen[]PN,
Wa-ta₂-ru-um,Watarum[]PN,
Wa-ta₂-ru-um-še₃,Watarum[]PN,
Wa-ta₂-ru-um-ta,Watarum[]PN,
Wa-ti-ma-aš-hi,Witimašhi[]PN,
Wa-wa,Wawa[]PN
Wa-wa-ti,Wawati[]PN,
Wa-wa-ti-ta,Wawati[]PN,
Wa-zum-{d}Šul-gi,WaṣumŠulgi[]PN,
We-du-um,Wedum[]PN,
Wi-bi-za-la₂,Wibizala[]PN,
Wi-ti-ma-aš-hi,Witimašhi[]PN,
Wi-ti-ma-aš-hi-min,Witimašhi[]PN,MVN 13 695 o 12 (MIN repeats end of previous line; copy/photo)
Wi-wi-um,Wiwiʾum[]PN,uncertain
ZI.NAM{ki},ZI.NAM{ki}[]SN,
ZU-al,ZU.al[]PN,
ZU.ZU-ma-IŠ,ZU.ZU.ma.IŠ[]PN,AfO 24 pl. 15 S 213 o 9 (copy)
Za-NE.NE,Zabibi[]PN,uncertain
Za-a-a,Zaya[]PN,
Za-a-lum,Zanum[]PN,
Za-a-nu-um,Zanum[]PN,
Za-a-num₂,Zanum[]PN,
Za-a-num₂-ta,Zanum[]PN,
Za-ab-ša-li,Zabšali[]SN,
Za-ab-ša-li-um{ki},Zabšali[]SN,
Za-ab-ša-li{ki},Zabšali[]SN,
Za-ab-ša-lum,Zabšali[]SN,
Za-ab-ša-lu{ki},Zabšali[]SN,
Za-ab-ra-am,Zabram[]PN,
Za-ab-ra-am-ta,Zabram[]PN,
Za-ak-li-li,Zaklili[]PN,
Za-ak-li₂-li₂,Zaklili[]PN,
Za-an-du-mu,Zanduŋu[]PN,Zandumu?
Za-an-na,Zana[]PN,= Zanum?
Za-an-nu-um,Zanum[]PN,= Zana?
Za-an-num₂,Zanum[]PN,
Za-an-ti-ru-um,Zantirum[]PN,
Za-ar-ma-zu,Zarmazu[]PN,
Za-ba-nu-um,Zabanum[]PN,Martu
Za-ga-an-BI,Za.ga.an.BI[]PN,ASJ 04 141 06 o 1 (copy)
Za-gi-id-DINGIR,Naqidili[]PN,typo; RA 75 86 05 r 2 (ZA for NA; copy/photo)
Za-la-KA,ZA.la.KA×GAN₂@t[]PN,MVN 11 181 o 2: 1 gud 10 udu ZA.la.KA×GAN₂@t? (copy/photo)
Za-la-a,Zala[]PN,"or, Zalaʾa/Zalaya?"
Za-la-ku-um,Zalakum[]PN,
Za-la-ta,Zala[]PN,
Za-la₂-mu-u₂,Zalamu[]PN,"or, Zalamuʾu?"
Za-li-a,Zaliʾa[]PN,
Za-li₂-a,Zaliʾa[]PN,
Za-li₂-a-ta,Zaliʾa[]PN,
Za-lu-a,Zaluʾa[]PN,= Zaliʾa?
Za-mi-du-uk,Zamiduk[]PN,
Za-na-a,Zana[]PN,"or, Zanaʾa/Zanaya?"
Za-na-ti,Zanati[]PN,
Za-ri-iq,Zariq[]PN,typo; TRU 370 o 6 (RI for RI2; copy/photo); 3 citations no copy/phto
Za-ri-me-me-ta,Zarimeme[]PN,uncertain
Za-ri₂-iq,Zariq[]PN,
Za-ri₂-iq-ta,Zariq[]PN,
Za-ri₂-kum,Zariqum[]PN,
Za-ri₂-qum,Zariqum[]PN,
Za-ti-ru-um-ra,Zatirum[]PN,
Za-u₃-pu,Zaʾupu[]PN,
Za-za-ta,Zazi[]PN,"typo; RA 10, 209 BM 103437 o 3 (ZA for ZI; copy)"
Za-zi,Zazi[]PN,Sasi?
Za-zi-še₃,Zazi[]PN,
Za-zi-ka,Zazi[]PN,
Za-zi-ra,Zazi[]PN,
Za-zi-ta,Zazi[]PN,
Za₃-at-tum{ki},Zatum[]SN,
Za₃-mu-ba-ni-us₂,Zagŋubaniʾus[]PN,
Za₃-tum{ki},Zatum[]SN,
Zabalam₄{ki},Zabalam[]SN,
Ze-lu-uš-{d}Da-gan,ṢillušDagan[]PN,typo; Santag 7 133 o 6 (ZI for ZE2; copy)
Ze₂-a-ri-iq,AB×AŠ₂.a.ri.IG[]PN,Abuʾarik 'father is tall'?; MVN 04 262 r 1: ki AB×AŠ₂?/NUN?-a-ri/-IG (copy)
Ze₂-e-na-a,Zena[]PN,"or, Zenaʾa/Zenaya?"
Ze₂-e-nam,Zenam[]PN,
Ze₂-e-ze₂,Ṣeṣe[]PN,Sese?/Zeze?
Ze₂-ip-ra-am,Ṣipram[]PN,Sipram?
Ze₂-la-la,Ṣilala[]PN,Silala?
Ze₂-ra-am,Ṣiram[]PN,Zeram?/Siram?
Ze₂-ra-ra,Ṣirara[]PN,Zerara?/Sirara?
Ze₂-ru-la,Ṣirula[]PN,Zerula?/Sirula?
Zi-bi₂-re{ki},Zi.BI.ri{ki}[]SN,Zidahri?; JEOL 33 114 02 o 7: eren2 Zi-BI-ri{ki} (copy); copy BI for DAH?
Zi-da-ah-re{ki}-ke₄-ne-še₃,Zidahri[]SN,
Zi-da-ah-ri{ki},Zidahri[]SN,
Zi-da-ni-um{ki},Zidanum[]SN,
Zi-da-nu-um{ki},Zidanum[]SN,
Zi-da-num₂,Zidanum[]SN,
Zi-da-num₂{ki},Zidanum[]SN,
Zi-da-nu{ki},Zidanum[]SN,
Zi-du,Zidu[]PN,
Zi-ge,Zige[]PN,hypo?
Zi-gi₄-ru-um,Zigirum[]PN,
Zi-ib-ni-tum,Zibnitum[]PN,
Zi-ik-na-ad-še₃,Ziknad[]PN,uncertain
Zi-im-zi-la-ah,Zimzilah[]PN,
Zi-ir-ki-lum,Zerkinum[]PN,uncertain
Zi-iz-zi-ra-nu-um,Ziziranum[]PN,
Zi-kur-i₃-li₂,Zikurili[]PN,
Zi-li-li,Zilili[]PN,Ṣilili?/Silili?
Zi-li-ni,Zilili[]PN,
Zi-mu-dar-še₃,Zimudar[]SN,
Zi-mu-dar{ki},Zimudar[]SN,
Zi-mu-dar{ki}-ka,Zimudar[]SN,
Zi-mu-dar{ki}-me,Zimudar[]SN,
Zi-mu-dar{ki}-ta,Zimudar[]SN,
Zi-ni-a,Ziniʾa[]PN,
Zi-zi-ni,Zizini[]PN,Ṣiṣini?/Sisini?
Zi-zu-uh₃,Zizuh[]PN,
Zi₂-bi,Zibi[]PN,hypo? (Ṣibi?)
Zi₂-bi-la-tum-še₃,Zibilatum[]PN,Ṣibilatum?
Zi₂-bi-le-num₂,Zibilenum[]PN,Ṣibilenum?
Zi₂-da-num₂{ki},Zidanum[]SN,
Zi₂-ib-ra-am-ta,Ṣipram[]PN,
Zi₂-na-na,Zinana[]PN,Ṣinana?/Sinana?
Zi₂-na-na-ta,Zinana[]PN,
Zi₂-ri,Zeri[]PN,
Zimbir{ki},Zimbir[]SN,
Zimbir{ki}-še₃,Zimbir[]SN,
Zimbir{ki}-ke₄,Zimbir[]SN,
Zimbir{ki}-ke₄-ne,Zimbir[]SN,
Zimbir{ki}-ta,Zimbir[]SN,
Zu-a-ti,Zuʾati[]PN,
Zu-ba-ga,Zubaga[]PN,
Zu-ba-ga-ta,Zubaga[]PN,
Zu-bu-uš,Zubuš[]PN,LU2.SU
Zu-ga-a,Zuga[]PN,"or, Zugaʾa/Zugaya?"
Zu-ga-li,Zugali[]PN,
Zu-gi-li-ta,Zugili[]PN,= Zugali?
Zu-hu-tum,Zuhutum[]PN,
Zu-i₃-li₂,Zuʾili[]PN,
Zu-ku-ku-um,Zukukum[]PN,
Zu-la-la,Zulala[]PN,= Zulalum?
Zu-la-lum,Zulalum[]PN,= Zulala?
Zu-la-ti,Zulati[]PN,
Zu-ma,Zuma[]PN,
Zu-mi-da-DINGIR,Zumidan[]PN,uncertain
Zu-ri-im,Zuriʾum[]PN,< Ebla
Zu-ri₂-um,Zuriʾum[]PN,< Ebla
Zu-ru-uh₂,Zuruh[]PN,
Zu-u₂-gu-a,Zuguʾa[]PN,
Zu-u₂-zu,Zuzu[]PN,"or, Ṣuṣu?"
Zu-u₂-zu-hi-ra,Zuzuhira[]PN,
Zu-um-ma,Zuma[]PN,
Zu-ur₂-zu-ra,Zurzura[]PN,"or, Ṣurṣura?"
Zu-za-a,Zuza[]PN,"or, Zuzaʾa/Zuzaya?"
Zu-zu,Zuzu[]PN,
Zu-zu-a,Zuzuʾa[]PN,"or, Ṣuṣuʾa?"
Zu-zu-ga-ta,Zuzuga[]PN,
Zu-zu-mu-ta,Zuzuŋu[]PN,
ZuBa-li-li,Zulili[]PN,
Zuluhu₂,Zuluhu[]PN,
{d}A-a-mu,Ayaŋu[]PN,
{d}A-ba-ba,Ababa[]DN,
{d}A-ba-{d}En-lil₂-gen₇,AbaʾEnlilgin[]DN,"offerings to A, šu-nir of Enlil"
{d}A-ba-{d}en-lil₂-gen₇-ta,AbaʾEnlilgin[]DN,
{d}A₂-an-da,Aʾanda[]DN,
{d}Ab-u₂,Abu[]DN,
{d}Ašnan,Ašnan[]DN,
{d}Ašnan-še₃,Ašnan[]DN,
{d}Ašnan-u₃-tu,Ašnanutud[]PN,
{d}Al-la,Alla[]DN,
{d}Al-la-ga₂-gi₄-a,Allaŋagiʾak[]DN,
{d}Al-la-gu-la,Allagula[]DN,
{d}Al-la-gu-la-ta,Allagula[]DN,
{d}Al-la-tum,Allatum[]DN,
{d}Al-la-tum-ma,Allatum[]DN,
{d}Alamuš,Alamuš[]DN,
{d}Alan,Alan[]DN,offerings to statue of king (SH 37); OIP 115 032 o 12 (copy/photo)
{d}Ama-abzu-kar₂,AmaʾAbzukar[]DN,
{d}Ama-ra-zu,Amarazu[]DN,
{d}Amar-Suen-ra,AmarSuʾenak[]RN,part of AS 8 or 9 year-name; EnnuneAmarSuʾenakrakiʾaŋ
{d}Amar-{d}Suen,AmarSuʾenak[]RN,
{d}Amar-{d}Suen-še₃,AmarSuʾenak[]RN,offerings at ki-a-naŋ of AS (SS 01); TIM 6 08 o 6 (copy)
{d}Amar-{d}Suen-engar-{d}En-lil₂-la₂,AmarSuʾenakengarEnlilak[]PN,  field-name? (3 citations); banquet of A (1 citation)
{d}Amar-{d}Suen-ha-ma-ti,AmarSuʾenakehamatil[]PN,  uncertain
{d}Amar-{d}Suen-i₃-li₂,AmarSuʾenili[]PN,
{d}Amar-{d}Suen-ka,AmarSuʾenak[]RN,
{d}Amar-{d}Suen-ka-še₃,AmarSuʾenak[]RN,
{d}Amar-{d}Suen-ka-me,AmarSuʾenak[]PN,
{d}Amar-{d}Suen-ke₄,AmarSuʾenak[]RN,
{d}Amar-{d}Suen-ke₄-ne-še₃,AmarSuʾenak[]PN,
{d}Amar-{d}Suen-ki-ag₂,AmarSuʾenak[]RN,  part of AS 8 or 9 year-name
{d}Amar-{d}Suen-na-engar-{d}En-lil₂,AmarSuʾenakengarEnlilak[]PN,  Ontario 1 086 r 1 (copy/photo)
{d}Amar-{d}Suen-na-ra-am-{d}En-lil₂,AmarSuʾennaramEnlil[]PN,
{d}Amar-{d}Suen-na-wi-ir,AmarSuʾennawir[]PN,
{d}Amar-{d}Suen-ra,AmarSuʾenak[]RN,part of AS 8 or 9 year-name
{d}Amar-{d}Suen-ra-ki-ag₂,AmarSuʾenak[]RN,part of AS 8 or 9 year-name
{d}Amar-{d}Suen-ra-ki-ag₂-an-na,AmarSuʾenak[]RN,part of AS 9 year-name
{d}Amar-{d}Suen-zi-kalam-ma,AmarSuʾenakzikalamak[]PN,
{d}Amar-{d}SuenEN.ZU,AmarSuʾenak[]RN,
{d}Amar-{d}suen,AmarSuʾenak[]RN,
{d}Amar-{d}suen-ka,AmarSuʾenak[]RN,
{d}Amar-{d}suen-ra,AmarSuʾenak[]RN,part of AS 8 or 9 year-name
{d}Amar-{d}suen-ra-ki-ag₂-an-na,AmarSuʾenak[]RN,part of AS 9 year-name
{d}An-na,An[]DN,
{d}An-nu-ni-tum-Unu{ki}-ga-še₃,Annunitum[]DN,
{d}Asar,Asarluhi[]DN,
{d}Asar-lu₂-hi,Asarluhi[]DN,
{d}Ba-u₂,Baʾu[]DN,
{d}Ba-u₂-še₃,Baʾu[]DN,
{d}Ba-u₂-da,Baʾuda[]PN,hypo?
{d}Ba-u₂-da-NIR-da,{d}Ba.u₂.da.NIR.da[]PN,mistake for Baʾudanirŋal?; AUCT 2 335 o 8 (AS 09; copy/photo)
{d}Ba-u₂-da-nir-gal₂,Baʾudanirŋal[]PN,AS 07-09 (4 citations)
{d}Ba-u₂-i₃-zu,Baʾuʾizu[]PN,
{d}Ba-u₂-ib₂-gu-ta,Baʾuʾibgul[]PN,BIN 3 405 r 3: {d}Ba-u2-ib2-gu-ul!(UL+DIŠ; copy)
{d}Ba-u₂-ib₂-gu-ul,Baʾuʾibgul[]PN,
{d}Ba-u₂-ib₂-gu-ul-e,Baʾuʾibgul[]PN,
{d}Ba-u₂-ke₄-ne-še₃,Baʾu[]DN,
{d}Ba-u₂-ta,Baʾu[]DN,
{d}Balag,Balaŋ[]DN,
{d}Be-la-ad-dar-ra-ba-an,BelatDeraban[]DN,"cf, Sallaberger, Der kultische Kalender, 19"
{d}Be-la-ad-na-bi₂,Belatnabium[]DN,TCL 2 5514 o 6 (IS 02; copy/photo)
{d}Be-la-ad-suh-nir,BelatSuhnir[]DN,"cf, Sallaberger, Der kultische Kalender, 19"
{d}Be-la-at-Er₃-ra-ba-an,BelatDeraban[]DN,
{d}Be-la-at-NE.RU,{d}Be.la.at.NE.RU[]DN,= {d}Be.la.at.NE.RI?; CT 32 50 BM 103409 o 25 (copy)
{d}Be-la-at-šu-gu-nir,BelatŠuhnir[]DN,MVN 03 344 o 18 (GU for UH3; copy/photo)
{d}Be-la-at-da-ra-ba-an,BelatDeraban[]DN,
{d}Be-la-at-dar-ba-an,BelatDeraban[]DN,
{d}Be-la-at-dar-ra-E₂-ba-an,BelatDeraban[]DN,
