transliteration,normalization,sign_names,remarks
{d}Šara₂-ba-zi-ge,Šarabazige[]DN,AN |LAGAB×IGI@G| BA ZI GI,
{d}Šara₂-he₂-gal₂,Šaraheŋal[]DN,AN |LAGAB×IGI@G| GAN IG,
{d}Šara₂-kam,Šarakam[]PN,AN |LAGAB×IGI@G| |HI×BAD|,
{d}Šara₂-kam-še₃,Šarakam[]PN,AN |LAGAB×IGI@G| |HI×BAD| EŠ₂,
{d}Šara₂-kam-e,Šarakam[]PN,AN |LAGAB×IGI@G| |HI×BAD| E,
{d}Šara₂-kam-ta,Šarakam[]PN,AN |LAGAB×IGI@G| |HI×BAD| TA,
{d}Šara₂-ta,Šara[]DN,AN |LAGAB×IGI@G| TA,
{d}Šara₂-ur-sag,Šaraʾursaŋ[]PN,AN |LAGAB×IGI@G| UR SAG,
{d}Šu-Sin,ŠuSuʾen[]RN,AN ŠU U U U,
{d}Šu-Suen,ŠuSuʾen[]RN,AN ŠU EN ZU,
{d}Šu-Suen-la-ma-ha-ar,ŠuSuʾenlamahar[]DN,AN ŠU EN ZU LA MA HA IGI RI,
{d}Šu-bu-la,Šubula[]DN,AN ŠU BU LA,
{d}Šu-mah,Šumah[]DN,AN ŠU MAH,
{d}Šu-nir-ra-še₃,Šunir[]ON,AN ŠU |NUN&NUN| RA EŠ₂,RCU 52 o 2: (1 cow) igi {d}Šu-nir-ra-še3 (photo)
{d}Šu-zi-an-na,Šuzidanak[]DN,AN ŠU ZI AN NA,
{d}Šu-{d}Šul-gi,ŠuŠulgi[]PN,AN ŠU AN DUN GI,
{d}Šu-{d}Su'en,ŠuSuʾen[]RN,AN ŠU AN SU'EN,
{d}Šu-{d}Suen,ŠuSuʾen[]RN,AN ŠU AN EN ZU,
{d}Šu-{d}Suen-,ŠuSuʾen[]RN,AN ŠU AN EN ZU,
{d}Šu-{d}Suen-AN.DUL₃,ŠuSuʾenṣilul[]PN,AN ŠU AN EN ZU AN SAG@G,
{d}Šu-{d}Suen-DINGIR,ŠuSuʾenili[]PN,AN ŠU AN EN ZU AN,
{d}Šu-{d}Suen-HI-a-na-um-ma-ni,{d}Šu.{d}Suʾen.HI×U.a.na.um.ma.ni[]PN,AN ŠU AN EN ZU HI A NA UM MA NI,CST 448 o 6: {d}Cu-{d}EN.ZU/-HI×U?-a-na-um-ma-ni (photo)
{d}Šu-{d}Suen-PI-zu-um-i-šar-re,ŠuSuʾenwusumišari[]PN,AN ŠU AN EN ZU PI ZU UM I SAR RI,uncertain; < Simanum
{d}Šu-{d}Suen-a-na-{d}Suen-ta₂-ki-il,ŠuSuʾenanaSuʾentakil[]PN,AN ŠU AN EN ZU A NA AN EN ZU DA KI IL,
{d}Šu-{d}Suen-ba-ni,ŠuSuʾenbani[]PN,AN ŠU AN EN ZU BA NI,
{d}Šu-{d}Suen-ba-ni-ta,ŠuSuʾenbani[]PN,AN ŠU AN EN ZU BA NI TA,
{d}Šu-{d}Suen-še₃,ŠuSuʾen[]RN,AN ŠU AN EN ZU EŠ₂,
{d}Šu-{d}Suen-du₁₀-ub-ma-ti-iš-zu-ta,ŠuSuʾenṭubmatissu[]PN,AN ŠU AN EN ZU HI UB MA TI IŠ ZU TA,
{d}Šu-{d}Suen-e-te-el₂-KA-{d}En-lil₂,ŠuSuʾenetelpiʾEnlil[]PN,AN ŠU AN EN ZU E TE IL KA AN EN KID,
{d}Šu-{d}Suen-ha-ma-ti,ŠuSuʾenhamatil[]PN,AN ŠU AN EN ZU HA MA TI,
{d}Šu-{d}Suen-ha-ma-ti-še₃,ŠuSuʾenhamatil[]PN,AN ŠU AN EN ZU HA MA TI EŠ₂,
{d}Šu-{d}Suen-hi-li-an-na,ŠuSuʾenhiliʾanak[]PN,AN ŠU AN EN ZU HI LI AN NA,
{d}Šu-{d}Suen-i-ba-la-ah-{d}En-lil₂,ŠuSuʾenipallahEnlil[]PN,AN ŠU AN EN ZU I BA LA |HI×NUN| AN EN KID,
{d}Šu-{d}Suen-i-pa₂-la-ah-{d}En-lil₂,ŠuSuʾenipallahEnlil[]PN,AN ŠU AN EN ZU I BA LA |HI×NUN| AN EN KID,
{d}Šu-{d}Suen-i-ti-ib-ši-na-at,ŠuSuʾeniṭibšinat[]PN,AN ŠU AN EN ZU I TI IB IGI NA AD, MVN 05 132 seal ii 1 (uncertainty over rdg; no copy/photo)
{d}Šu-{d}Suen-i₃-du₁₀{ki},ŠuSuʾenidug[]SN,AN ŠU AN EN ZU NI HI KI,
{d}Šu-{d}Suen-i₃-li₂,ŠuSuʾenili[]PN,AN ŠU AN EN ZU NI NI,
{d}Šu-{d}Suen-i₃-pa₂-la-ah-{d}En-lil₂,ŠuSuʾenipallahEnlil[]PN,AN ŠU AN EN ZU NI BA LA |HI×NUN| AN EN KID,
{d}Šu-{d}Suen-i₃-zu-,ŠuSuʾenipallahEnlil[]PN,AN ŠU AN EN ZU NI ZU, written over 2 lines; Princeton 2 002 r ii 25 (so photo)
{d}Šu-{d}Suen-ka-me,ŠuSuʾen[]RN,AN ŠU AN EN ZU KA ME,
{d}Šu-{d}Suen-ki-ag₂-{d}Nanna,ŠuSuʾenkiʾaŋNannak[]PN,AN ŠU AN EN ZU KI |NINDA₂×NE| AN ŠEŠ KI,
{d}Šu-{d}Suen-ki-ag₂-{d}nin-sun₂,ŠuSuʾenkiʾaŋNinsumunakak[]PN,AN ŠU AN EN ZU KI |NINDA₂×NE| AN SAL TUG₂ GUL,
{d}Šu-{d}Suen-la-ma-ha-ar,ŠuSuʾenlamahar[]PN,AN ŠU AN EN ZU LA MA HA IGI RI,
{d}Šu-{d}Suen-la-ma-har,ŠuSuʾenlamahar[]PN,AN ŠU AN EN ZU LA MA |HI×AŠ₂|,
{d}Šu-{d}Suen-li-la-bi-ir-PA,ŠuSuʾenlilabbirhaṭṭam[]PN,AN ŠU AN EN ZU LI LA BI IR PA,
{d}Šu-{d}Suen-li-la-bi-ir-ha-ṭa-am,ŠuSuʾenlilabbirhaṭṭam[]PN,AN ŠU AN EN ZU LI LA BI IR HA DA |GUD×KUR|,
{d}Šu-{d}Suen-mi-gir-Eš₄-tar₂,ŠuSuʾenmigirEštar[]PN,AN ŠU AN EN ZU MI HA@G DIŠ DAR,
{d}Šu-{d}Suen-mi-gir-Eš₁₈-tar₂,ŠuSuʾenmigirEštar[]PN,AN ŠU AN EN ZU MI HA@G AŠ@Z DAR,
{d}Šu-{d}Suen-mi-gir-{d}En-lil₂,ŠuSuʾenmigirEnlil[]PN,AN ŠU AN EN ZU MI HA@G AN EN KID,
{d}Šu-{d}Suen-na-ra-am-{d}EN.LIL₂,ŠuSuʾennaramEnlil[]PN,AN ŠU AN EN ZU NA RA |GUD×KUR| AN EN KID,
{d}Šu-{d}Suen-na-ra-am-{d}En-lil₂,ŠuSuʾennaramEnlil[]PN,AN ŠU AN EN ZU NA RA |GUD×KUR| AN EN KID,
{d}Šu-{d}Suen-si-sa₂,ŠuSuʾensisa[]PN,AN ŠU AN EN ZU SI DI,
{d}Šu-{d}Suen-si-sa₂-še₃,ŠuSuʾensisa[]PN,AN ŠU AN EN ZU SI DI EŠ₂,
{d}Šu-{d}Suen-si-sa₂-ta,ŠuSuʾensisa[]PN,AN ŠU AN EN ZU SI DI TA,
{d}Šu-{d}Suen-ta₂-ki-il-a-na-{d}Suen,ŠuSuʾentakilanaSuʾen[]PN,AN ŠU AN EN ZU DA KI IL A NA AN EN ZU,
{d}Šu-{d}Suen-wu-zu-um-i-šar-re,ŠuSuʾenwusumišari[]PN,AN ŠU AN EN ZU PI ZU UM I SAR RI,
{d}Šu-{d}SuenEN.ZU,ŠuSuʾen[]RN,AN ŠU AN SUENEN ZU,
{d}Šu-{d}suen,ŠuSuʾen[]RN,AN ŠU AN EN ZU,
{d}Šu-{d}suen-še₃,ŠuSuʾen[]RN,AN ŠU AN EN ZU EŠ₂,
{d}Šu-{d}suen-i-ti-i₃-li₂-ma-lik,ŠuSuʾenittiʾilimalik[]PN,AN ŠU AN EN ZU I TI NI NI MA UR,
{d}Šul--gi-si₂-im-ti,Šulgisimti[]PN,AN DUN GI ZI IM TI,= Šulgisimtum?
{d}Šul-g-a-a-mu,Šulgiʾayaŋu[]PN,AN DUN G A A MU,typo; BIN 3 051 o 4: {d}Šul-gi-a-a-ŋu10 (copy)
{d}Šul-gi,Šulgir[]RN,AN DUN GI,
{d}Šul-gi-AB.DU₈,{d}Šul.gi.AB.DU₈[]PN,AN DUN GI AB DUH,"AAICAB 1/1, Ashm. 1932-529 r iii 20' (copy/photo)"
{d}Šul-gi-AN.DUL₃,Šulgirandul[]PN,AN DUN GI AN SAG@G,
{d}Šul-gi-DIB.AŠ-mu,Šulgiririŋu[]PN,AN DUN GI DIB AŠ MU,uncertain; SumTemDocs. 06 o 4 (copy)
{d}Šul-gi-GI-si₂-im-tum-ma,Šulgisimti[]PN,AN DUN GI GI ZI IM TUM MA,= Šulgisimti?'  CST 469 r 1: {d}Šul-gi-si2!(GI)/-im-tum-ma (photo)
{d}Šul-gi-KAL,Šulgirkalaga[]PN,AN DUN GI KAL,
{d}Šul-gi-UN-ha-ni-iš,{d}Šul.gi.UN.ha.ni.iš[]PN,AN DUN GI UN HA NI IŠ,AUCT 3 200 o 4 (copy/photo); BIN 3 546 r 21 (copy)
{d}Šul-gi-a-a-mu,Šulgirayaŋu[]PN,AN DUN GI A A MU,
{d}Šul-gi-a-a-mu-ta,Šulgirayaŋu[]PN,AN DUN GI A A MU TA,
{d}Šul-gi-a-bi,Šulgiʾabi[]PN,AN DUN GI A BI,
{d}Šul-gi-a-bi₂,Šulgiʾabi[]PN,AN DUN GI A NE,
{d}Šul-gi-a-tal,Šulgiʾatal[]PN,AN DUN GI A RI,Hurrian
{d}Šul-gi-ad-gur,Šulgiradgur[]PN,AN DUN GI AD GUR,
{d}Šul-gi-ad-lal₃,Šulgiradlal[]PN,AN DUN GI AD |TA×HI|,
{d}Šul-gi-al-mah,Šulgiralmah[]PN,AN DUN GI AL MAH,
{d}Šul-gi-an-za₃-še₃,Šulgiranzagše[]PN,AN DUN GI AN ZAG EŠ₂,
{d}Šul-gi-ba-ni,Šulgibani[]PN,AN DUN GI BA NI,
{d}Šul-gi-ba-ni-il,Šulgibaniʾil[]PN,AN DUN GI BA NI IL,"'Shulgi, my fashioner, is god'?"
{d}Šul-gi-ba-ni-ta,Šulgibani[]PN,AN DUN GI BA NI TA,
{d}Šul-gi-še₃,Šulgir[]RN,AN DUN GI EŠ₂,
{d}Šul-gi-da-balag-ta,Šulgirdabalaŋ[]PN,AN DUN GI DA BALAG TA,
{d}Šul-gi-da-nir-gal₂,Šulgirdanirŋal[]PN,AN DUN GI DA |NUN&NUN| IG,
{d}Šul-gi-dingir-kal-mu,Šulgirdiŋirkalaŋu[]PN,AN DUN GI AN KAL MU,"or, Šulgirdiŋirkalagŋu?"
{d}Šul-gi-dingir-kalam-ma,Šulgirdiŋirkalamak[]PN,AN DUN GI AN UN MA,
{d}Šul-gi-dingir-mu,Šulgirdiŋirŋu[PN,AN DUN GI AN MU,
{d}Šul-gi-du₁₁-ge-du₇,Šulgirdugedu[]PN,AN DUN GI KA GI U GUD,
{d}Šul-gi-dumu-an-na,Šulgirdumuʾanak[]PN,AN DUN GI TUR AN NA,
{d}Šul-gi-e,Šulgir[]RN,AN DUN GI E,
{d}Šul-gi-gal-zu,Šulgirgalzu[]PN,AN DUN GI GAL ZU,
{d}Šul-gi-ha-ma-ti,Šulgirhamatil[]PN,AN DUN GI HA MA TI,
{d}Šul-gi-ha-si₂-is,Šulgihasis[]PN,AN DUN GI HA ZI GIŠ,
{d}Šul-gi-ha-si₂-is-še₃,Šulgihasis[]PN,AN DUN GI HA ZI GIŠ EŠ₂,
{d}Šul-gi-he₂-gal₂,Šulgiheŋal[]PN,AN DUN GI GAN IG,
{d}Šul-gi-he₂-gal₂{ki}-še₃,Šulgiheŋal[]PN,AN DUN GI GAN IG KI EŠ₂,
{d}Šul-gi-hi-li-an-na,Šulgirhiliʾanak[]PN,AN DUN GI HI LI AN NA,
{d}Šul-gi-i₂-im-ti,Šulgisimti[]PN,AN DUN GI DIŠ IM TI,typo; RA 74 47 116 r 3: 1 gud {d}Šul-gi-si2-im-ti (photo)
{d}Šul-gi-i₃-i-ni-ib₂-Ma-ma,ŠulgiʾinibMama[]PN,AN DUN GI NI I NI TUM MA MA,
{d}Šul-gi-i₃-li₂,Šulgiʾili[]PN,AN DUN GI NI NI,
{d}Šul-gi-i₃-li₂-še₃,Šulgiʾili[]PN,AN DUN GI NI NI EŠ₂,
{d}Šul-gi-i₃-li₂-ta,Šulgiʾili[]PN,AN DUN GI NI NI TA,
{d}Šul-gi-kala-ga,Šulgirkalaga[]PN,AN DUN GI KAL GA,
{d}Šul-gi-kala-ga-da,Šulgirkalagada[]PN,AN DUN GI KAL GA DA,
{d}Šul-gi-kalam-ma-me-te-bi,Šulgirkalamametebi[]PN,AN DUN GI UN MA ME TE BI,
{d}Šul-gi-kalam-me-te-bi,Šulgirkalamametebi[]PN,AN DUN GI UN ME TE BI,
{d}Šul-gi-ku₃-zu,Šulgirkugzu[]PN,AN DUN GI KU₃ ZU,
{d}Šul-gi-li-ba-ni,Šulgilibani[]PN,AN DUN GI LI BA NI,
{d}Šul-gi-li-ti-iš,Šulgilitiš[]PN,AN DUN GI LI TI IŠ,
{d}Šul-gi-ma-ti,Šulgimati[]PN,AN DUN GI MA TI,
{d}Šul-gi-mi-šar,Šulgimišar[]PN,AN DUN GI MI SAR,
{d}Šul-gi-mi-šar-ta,Šulgimišar[]PN,AN DUN GI MI SAR TA,
{d}Šul-gi-mi-sar,Šulgimišar[]PN,AN DUN GI MI SAR,
{d}Šul-gi-mi-sar-ta,Šulgimišar[]PN,AN DUN GI MI SAR TA,
{d}Šul-gi-na-da,Šulginada[]PN,AN DUN GI NA DA,
{d}Šul-gi-na-da-ra,Šulginada[]PN,AN DUN GI NA DA RA,
{d}Šul-gi-na-da-ta,Šulginada[]PN,AN DUN GI NA DA TA,
{d}Šul-gi-na-gir-ti,Šulginagirti[]PN,AN DUN GI NA HA@G TI,
{d}Šul-gi-nu-ri,Šulginuri[]PN,AN DUN GI NU RI,
{d}Šul-gi-pa-li₂-il,Šulgipalil[]PN,AN DUN GI PA NI IL,
{d}Šul-gi-pa₂-li₂-il₈,Šulgipalil[]PN,AN DUN GI BA NI |IL×GAN₂@T|,BPOA 7 2680 o 9 (emended from IL6; no copy/photo)
{d}Šul-gi-pa₂-ni-il,Šulgipalil[]PN,AN DUN GI BA NI IL,
{d}Šul-gi-ra,Šulgir[]RN,AN DUN GI RA,
{d}Šul-gi-ra-še₃,Šulgir[]RN,AN DUN GI RA EŠ₂,
{d}Šul-gi-ra-ka,Šulgir[]RN,AN DUN GI RA KA,
{d}Šul-gi-ra-ka-še₃,Šulgir[]RN,AN DUN GI RA KA EŠ₂,
{d}Šul-gi-ra-kam,Šulgirakam[]PN,AN DUN GI RA |HI×BAD|,
{d}Šul-gi-ra-ke₄,Šulgir[]RN,AN DUN GI RA KID,"part of SH 28, 29 year-name (also found as PN in AS 05, 07)"
{d}Šul-gi-ra-ma,Šulgirama[]PN,AN DUN GI RA MA,
{d}Šul-gi-ra-ta,Šulgir[]RN,AN DUN GI RA TA,
{d}Šul-gi-re,Šulgir[]RN,AN DUN GI RI,
{d}Šul-gi-sa-tu,Šulgirsatu[]PN,AN DUN GI SA TU,
{d}Šul-gi-si-im-ti,Šulgisimti[]PN,AN DUN GI SI IM TI,= Šulgisimtum?
{d}Šul-gi-si-im-tum,Šulgisimti[]PN,AN DUN GI SI IM TUM,= Šulgisimti?
{d}Šul-gi-si-sa₂,Šulgirsisa[]PN,AN DUN GI SI DI,
{d}Šul-gi-si-sa₂-še₃,Šulgirsisa[]PN,AN DUN GI SI DI EŠ₂,
{d}Šul-gi-si-sa₂-ta,Šulgirsisa[]PN,AN DUN GI SI DI TA,
{d}Šul-gi-si₂-im-im-tum,Šulgisimti[]PN,AN DUN GI ZI IM IM TUM,SET 007 r 4: mu-DU {d}Šul-gi-si2-im-<<im>>-tum (photo)
{d}Šul-gi-si₂-im-ti,Šulgisimti[]PN,AN DUN GI ZI IM TI,= Šulgisimtum?
{d}Šul-gi-si₂-im-ti-še₃,Šulgisimti[]PN,AN DUN GI ZI IM TI EŠ₂,
{d}Šul-gi-si₂-im-tum,Šulgisimti[]PN,AN DUN GI ZI IM TUM,
{d}Šul-gi-si₂-im-tum-še₃,Šulgisimti[]PN,AN DUN GI ZI IM TUM EŠ₂,
{d}Šul-gi-si₂-im-tum-ma,Šulgisimti[]PN,AN DUN GI ZI IM TUM MA,
{d}Šul-gi-si₂-im-tum-ma-kam,Šulgisimti[]PN,AN DUN GI ZI IM TUM MA |HI×BAD|,
{d}Šul-gi-si₂-im-tum-ma-me,Šulgisimti[]PN,AN DUN GI ZI IM TUM MA ME,
{d}Šul-gi-si₂-im-tum-ma-ta,Šulgisimti[]PN,AN DUN GI ZI IM TUM MA TA,
{d}Šul-gi-si₂-im-tum-me,Šulgisimti[]PN,AN DUN GI ZI IM TUM ME,
{d}Šul-gi-si₂-im-tumi,Šulgisimti[]PN,AN DUN GI ZI IM TUMI,OIP 115 115 r 1 (restored -tum or -ti; photo)
{d}Šul-gi-sipa-kalam-ma,Šulgirsipadkalamak[]PN,AN DUN GI PA LU UN MA,
{d}Šul-gi-ṣi-lu-ul,Šulgiṣilul[]PN,AN DUN GI ZE₂ LU U GUD,
{d}Šul-gi-ta,Šulgir[]RN,AN DUN GI TA,
{d}Šul-gi-tu-ri,Šulgirturi[]PN,AN DUN GI TU RI,
{d}Šul-gi-u₄-su₃-še₃,Šulgirudsud[]PN,AN DUN GI UD SUD EŠ₂,
{d}Šul-gi-un-ha-ni-iš,{d}Šul.gi.UN.ha.ni.iš[]PN,AN DUN GI UN HA NI IŠ,
{d}Šul-gi-uru-mu,Šulgiririŋu[]PN,AN DUN GI URU MU,
{d}Šul-gi-uru-mu-ta,Šulgiririŋu[]PN,AN DUN GI URU MU TA,
{d}Šul-gi-zi-mu,Šulgirziŋu[]PN,AN DUN GI ZI MU,
{d}Šul-gi-zi-mu-ta,Šulgirziŋu[]PN,AN DUN GI ZI MU TA,
{d}Šul-gi-zi₂-mu,Šulgiraddaŋu[]PN,AN DUN GI ZE₂ MU,uncertain; TCL 2 5515 o 8 (copy/photo unclear)
{d}Šul-gi-{d}Lamma-mu,ŠulgirLammarŋu[]PN,AN DUN GI AN KAL MU,
{d}Šul-gi-{d}Nanše-ki-ag₂,ŠulgirNanšekiʾaŋ[]PN,AN DUN GI AN |AB×HA| KI |NINDA₂×NE|,
{d}Šul-gi-{d}Nin-lil₂-la₂,ŠulgirNinlilak[]PN,AN DUN GI AN SAL TUG₂ KID LAL,uncertain (hypo?)
{d}Šul-gi-{d}UTU{ši},ŠulgiŠamši[]PN,AN DUN GI AN UD IGI,
{d}Šul-gi-{d}Utu-igi-mu,ŠulgirUtuʾigiŋu[]PN,AN DUN GI AN UD IGI MU,uncertain; CST 047 r 1: ŋiri3 {d}Šul-gi-{d}utu-ŠI-ŋu10 (photo)?; for Sum. ŠulgirUtuŋu or Akk. ŠulgiŠamši?
{d}Šul-gi-{d}Utu-mu,ŠulgirUtuŋu[]PN,AN DUN GI AN UD MU,
{d}Šul-gi-{d}Utu{ki},ŠulgirUtu[]SN,AN DUN GI AN UD KI,
{d}Šul-giuru-mu,Šulgiririŋu[]PN,AN DUN GIURU MU,UCP 9-2-2 117 r 3 (restored; copy/photo)
{d}Šul-pa-e₃,Šulpaʾe[]DN,AN DUN PA UD DU,
{d}Šul-pa-e₃-a,Šulpaʾe[]DN,AN DUN PA UD DU A,
{d}Šuruppag,Sud[]DN,AN SU KUR RU,
{d}DINGIR-ma-lik,AN.AN.ma.lik[]PN,AN AN MA UR,Amorites 18 (pl. 7) o ii 23: 2 udu {d}Ilu(m)?-ma-lik (copy)
{d}Da-a-da,Dada[]DN,AN DA A DA,
{d}Da-ad-muš-tum,Dadmuštum[]DN,AN DA AD MUŠ TUM,
{d}Da-da,Dada[]DN,AN DA DA,
{d}Da-gan,Dagan[]DN,AN DA GAN,
{d}Da-gan-a-bu,Daganabu[]PN,AN DA GAN A BU,
{d}Da-gan-du-ni,Dagandunni[]PN,AN DA GAN DU NI,'Dagan is my strength'
{d}Da-mu,Damu[]DN,AN DA MU,
{d}Dam-gal-nun,Damgalnunak[]DN,AN DAM GAL NUN,
{d}Dam-gal-nun-na,Damgalnunak[]DN,AN DAM GAL NUN NA,
{d}Dam-gal-nun-na-AN.DUL₃,Damgalnunakandul[]PN,AN DAM GAL NUN NA AN SAG@G,
{d}Dam-gal-nun-na-an-ka,Damgalnunakandul[]PN,AN DAM GAL NUN NA AN KA,AUCT 3 345 o 3 (copy/photo)
{d}Du-u₃-zi,Duzi[]DN,AN DU IGI DIB ZI,"or, Duʾuzi?"
{d}Dub-la₂-mah,Dublamah[]TN,AN DUB LAL MAH,"or, DN?"
{d}Dumu-zi,Dumuzid[]DN,AN TUR ZI,
{d}Dumu-zi-UR,Dumuzidteš[]PN,AN TUR ZI UR,uncertain; TCL 2 5498 r ii 15 (copy/photo)
