,BDTNS No,CDLI No,Original date,Converted Date
4165,78021,P289531,AS01 - 03 - 09,67.0309
4166,78032,P289540,AS05 - 09 - 26,71.0926
4167,78035,P289543,ASXX - 11 - 26,0.1126
4168,78036,P289544,SS06 - 07 - 21,81.07209999999999
4169,78037,P289545,SH44 - 00 - 28,62.0028
4170,78038,P289546,SS07 - 09 - 18,82.0918
4171,78046,P289438,XXXX - XX - XX,0.0
4172,78047,P289439,SS05 - 02 - 03,80.02029999999999
4173,78048,P289441,SH48 - 07 - 08,66.07079999999999
4174,78051,P289445,SH47 - 03 - 00,65.03
4175,78052,P289446,AS01 - 10 - 06,67.1006
4176,78053,P289447,SS05 - 00 - 00,80.0
4177,78054,P289448,SH46 - 07 - 08,64.07079999999999
4178,78058,P289454,SH47 - 11 - 27,65.1127
4179,78060,P289456,AS04 - 09 - 11,70.0911
4180,78061,P289457,SH45 - 06 - 25,63.0625
4181,78063,P289459,AS02 - 07 - 00,68.07
4182,78064,P289460,SH47 - 01 - 28,65.0128
4183,78065,P289461,AS05 - 09 - 19,71.09190000000001
4184,78066,P289462,SH46 - 06 - 11,64.0611
4185,78067,P289463,SH44 - 12d - 13,62.1213
4186,78068,P289464,SH46 - 05 - 27,64.0527
4187,78071,P289467,SH43 - 07 - 00,61.07
4188,60163,P200552,SH46 - 01 - 17,64.0117
4189,78072,P289468,SH43 - 09 - 28,61.092800000000004
4190,60164,P200553,SS07 - 10 - 00,82.1
4191,78073,P289469,SH48 - 08 - 27,66.0827
4192,78074,P289470,SH47 - 01 - 10,65.01100000000001
4193,78076,P289472,SS01 - 04 - 00,76.04
4194,78077,P289473,SH47 - 11 - 27,65.1127
4195,78078,P289474,SS08 - 12 - 17,83.1217
4196,78079,P289475,SH44 - 02 - 27,62.0227
4197,78082,P289478,AS04 - 07 - 17,70.07169999999999
4198,78083,P289479,AS02 - 01 - 01,68.01010000000001
4199,78084,P289480,SH47 - 12 - 00,65.12
4200,78086,P289482,AS02 - 10 - 13,68.1013
4201,78087,P289483,AS02 - 07 - 09,68.0709
4202,78089,P289485,AS04 - 02 - 20,70.02199999999999
4203,78092,P289488,AS02 - 05 - 03,68.0503
4204,78094,P289490,AS05 - 05 - 19,71.0519
4205,78095,P289491,SH45 - 12 - 15,63.1215
4206,78096,P289492,SH46 - 12 - 07,64.1207
4207,78098,P289494,XXXX - XX - XX,0.0
4208,78103,P289499,SS02 - XX - 12,77.0012
4209,78116,P289513,SS09 - 11 - 00,84.11
4210,78132,P301693,SS01 - 05 - 00,76.05
4211,78135,P301696,0000 - 09 - 00,0.09
4212,78142,P301703,SS05 - 03 - 00,80.03
4213,78143,P301704,SS01 - 05 - 04,76.0504
4214,78148,P301709,IS01 - 07 - 00,85.07
4215,78150,P301711,SSXX - 07 - 00,0.07
4216,78152,P301713,XXXX - XX - XX,0.0
4217,78208,P301947,SH48 - 09 - 00,66.09
4218,78210,P301949,AS08 - 07 - 08,74.07079999999999
4219,78211,P301950,AS05 - 01 - 01,71.01010000000001
4220,78212,P301951,SH47 - 05 - 07,65.05069999999999
4221,78215,P301954,AS05 - 08 - 06,71.0806
4222,78217,P301957,SS02 - 02 - 16,77.02159999999999
4223,78218,P301958,SH46 - 02 - 21,64.0221
4224,78220,P301960,SS09 - 09 - 26,84.0926
4225,78222,P301962,AS05 - 12 - 14,71.12140000000001
4226,78225,P301965,SH36 - 08 - 00,54.08
4227,78226,P301966,SH47 - 01 - 28,65.0128
4228,78228,P301968,AS05 - 08 - XX,71.08
4229,78229,P301969,SH44 - 11 - 00,62.11
4230,78231,P301971,SH48 - 08 - 22,66.0822
4231,78232,P301972,XXXX - XX - XX,0.0
4232,78235,P301975,SH48 - 07 - 00,66.07
4233,78238,P301978,SS04 - 09 - 00,79.09
4234,78242,P301982,SH42 - 05 - 00,60.05
4235,78243,P301983,SH46 - 02 - 23,64.0223
4236,78248,P301990,SH43 - 03 - 19,61.0319
4237,78251,P301993,SS06 - 09 - 27,81.09270000000001
4238,78252,P301994,0000 - ?? - 08,0.0008
4239,78254,P301996,AS04 - 01 - 01,70.01010000000001
4240,78260,P302004,AS04 - 06 - 05,70.0605
4241,78262,P302006,SHXX - 00 - 00,0.0
4242,78263,P302007,SH46 - 01 - 00,64.01
4243,78264,P302008,XXXX - XX - XX,0.0
4244,78265,P302009,AS05 - 12 - 00,71.12
4245,78266,P302011,AS07 - 08 - 08?,73.0808
4246,78268,P302014,XXXX - XX - XX,0.0
4247,78270,P302016,SS03 - 05 - 00,78.05
4248,78272,P302018,SH46 - 09 - 00,64.09
4249,78273,P302019,SH45 - 10 - 20,63.102000000000004
4250,78274,P302020,SH42 - 00 - 00,60.0
4251,78275,P302021,0000 - 04 - 30,0.043000000000000003
4252,78276,P302022,SS09 - 11 - 29,84.1129
4253,60165,P210067,SH40 - 05 - 00,58.05
4254,78285,P302034,IS01 - 05 - 00,85.05
4255,78289,P289671,ISXX - 00 - 00,0.0
4256,78291,P289672,SS08 - 06 - 11,83.0611
4257,78292,P302043,XXXX - 07 - 14,0.0714
4258,78293,P302044,XXXX - XX - XX,0.0
4259,78296,P302048,XXXX - XX - XX,0.0
4260,78308,P289724,SSXX - XX - 10,0.001
4261,78309,P289725,AS09 - 07 - 30,75.073
4262,78312,P289728,SH47 - 11 - 26,65.1126
4263,78314,P289730,ASXX - 09 - 13,0.09129999999999999
4264,78330,P289746,SH47 - 06 - 00,65.06
4265,78332,P289748,SS02 - 06 - 00,77.06
4266,78339,P289755,SH46 - 02 - 2x,64.02
4267,78340,P289756,SH47 - 10 - 00,65.1
4268,78344,P289760,AS02 - 05 - 23,68.0523
4269,78345,P289761,AS07 - XX - 06,73.0006
4270,78346,P289762,AS07 - XX - 00,73.0
4271,78347,P289763,SH43 - 11 - 19,61.1119
4272,78367,P289783,AS08 - 01 - 10,74.01100000000001
4273,78389,P289804,SH42 - 04 - 13,60.0413
4274,78886,P381528,0000 - 09 - 21,0.0921
4275,191733,P429326,SH45 - 01 - 06,63.0106
4276,164491,P235990,SS01 - 01 - 04,76.0104
4277,174656,P393058,AS03 - 09 - 08,69.0908
4278,174657,P393062,SS07 - 09 - 23,82.09230000000001
4279,174658,P393061,SS06 - 07 - 00,81.07
4280,174659,P393049,SH46 - 12 - 03,64.1203
4281,170817,P345963,SH46 - 07 - 28,64.07279999999999
4282,158753,P345964,SH48 - 08 - 00,66.08
4283,170819,P345965,AS04 - 12 - 14,70.12140000000001
4284,170821,P345967,AS02 - 08 - 29,68.0829
4285,193834,P470063,SH46 - 04 - 00,64.04
4286,193836,P470065,SH47 - 05 - 08,65.0508
4287,193838,P470067,SH45 - 01 - 03,63.0103
4288,193839,P470068,AS03 - 09 - 04,69.0904
4289,195244,P480377,SH46 - 03 - 05,64.0305
4290,195245,P388081,0000 - 09 - 00,0.09
4291,195247,P388080,AS03 - 08 - 13,69.0813
4292,59301,P218050,AS07 - 02 - 03,73.02029999999999
4293,59302,P218051,SH40 - 00 - 00,58.0
4294,9146,P113010,XXXX - 00 - 00,0.0
4295,46717,P123405,SH42 - 04 - 00,60.04
4296,46719,P123598,SH45 - 00 - 06,63.0006
4297,23354,P133832,SS06 - 04 - 28,81.0428
4298,193818,P143182,IS01 - 08 - 10+,85.081
4299,63791,P200536,AS04 - 06 - 23,70.06230000000001
4301,23034,P200584,SS07 - 06 - 05,82.0605
4302,171429,P209966,SS02 - 05 - 18+,77.0518
4303,59940,P212406,AS01 - 09 - 17,67.0917
4304,59944,P212410,AS06 - 02 - 11,72.02109999999999
4305,158210,P218010,AS06 - 10 - 01,72.1001
4306,158211,P218011,AS06 - 12 - 22,72.1222
4307,158213,P218013,SH48 - 09 - 03,66.0903
4308,158214,P218014,AS03 - 02 - 21,69.0221
4309,158215,P218015,SH46 - 05 - 04,64.0504
4310,158216,P218016,AS03 - 00 - 00,69.0
4311,158217,P218017,AS04 - 12 - 00,70.12
4312,158218,P218018,AS06 - 07 - 23,72.0723
4313,158221,P218021,SS04 - 08 - 27,79.0827
4314,158225,P218025,AS04 - 10 - 24,70.10239999999999
4315,158226,P218026,AS06 - 02 - 26,72.0226
4316,158227,P218027,SS01 - 05 - 01,76.0501
4317,158228,P218028,SS07 - 08 - 27,82.0827
4318,158231,P218031,AS09 - 08 - 00,75.08
4319,167904,P218049,SH45 - 10 - 00,63.1
4320,167921,P218074,IS02 - 09 - 26,86.0926
4321,168023,P234869,SS08 - 08 - 21,83.0821
4322,168029,P234877,SS02 - 07 - 10,77.071
4323,168030,P234878,SH45 - 08 - 26,63.0826
4324,168033,P234882,SS07 - XX - 00,82.0
4325,168035,P234884,SS04 - 09 - 00,79.09
4326,168036,P234885,SS07 - 12 - 00,82.12
4327,168041,P234894,IS01 - 12d - 00,85.12
4328,168043,P234899,SS07 - 10 - 00,82.1
4329,168048,P234908,AS06 - 05 - 03?,72.0503
4330,168050,P234912,SH48 - 10 - 23,66.1023
4331,168054,P234919,AS08 - 09 - 00,74.09
4332,168055,P234921,SS08 - 07 - 16,83.07159999999999
4333,168056,P234922,SS03 - 09 - 00,78.09
4334,168060,P234927,SS09 - 06 - 11,84.0611
4335,168062,P234929,SS05 - 06 - 00,80.06
4336,168063,P234930,AS03 - 09 - 27,69.09270000000001
4337,168064,P234931,AS05 - 05 - 25,71.0525
4338,168065,P234933,AS01 - XX - 00,67.0
4339,168066,P234934,AS08 - 02 - 05,74.0205
4340,168067,P234936,SS09 - 09 - 00,84.09
4341,168068,P234937,AS07 - 12 - 17,73.1217
4342,168070,P234939,SS04 - 08 - 20?,79.082
4343,168073,P234942,AS02 - 03 - 00,68.03
4344,168079,P234949,SH48 - 09 - 25,66.0925
4345,168081,P234951,AS02 - 08 - 00,68.08
4346,168084,P234954,AS07 - 08 - 07,73.0807
4347,168086,P234958,SH35 - 10 - 00,53.1
4348,168088,P234960,AS04 - 02 - 21,70.0221
4349,168091,P234964,SS01 - 05 - 08,76.0508
4350,168092,P234965,AS08 - 10 - 00,74.1
4351,168093,P234966,SH33 - 04 - 00,51.04
4352,168094,P234967,AS05 - 01 - 18,71.01180000000001
4353,168096,P234969,AS09 - 07 - 00,75.07
4354,168099,P234972,SH48 - 00 - 00,66.0
4355,168100,P234973,SH46 - 07 - 01,64.0701
4356,168102,P234975,AS03 - 00 - 00,69.0
4357,168105,P234979,AS07 - 08 - 00,73.08
4358,168110,P234984,SH35 - 02 - 00,53.02
4359,168113,P234987,AS05 - 08 - 13,71.0813
4360,168114,P234988,SH46 - 08 - 11,64.08109999999999
4361,168115,P234989,AS08 - 07 - 00,74.07
4362,168118,P234992,AS09 - 12 - 22,75.1222
4363,168121,P234996,AS09 - 12d - 07,75.1207
4364,168123,P234998,SS06 - 00 - 00,81.0
4365,168126,P235001,AS09 - 03 - 00,75.03
4366,168127,P235002,AS04 - 01 - 00,70.01
4367,168135,P235010,AS05 - 12 - 08,71.1208
4368,168139,P235015,AS05 - 02 - 00,71.02
4369,168141,P235017,SS02 - 11 - 00,77.11
4370,168144,P235020,AS04 - 11 - 29,70.1129
4371,168153,P235030,SS01 - 02 - 28,76.02279999999999
4372,168157,P235034,SS05 - 07 - 00,80.07
4373,168160,P235039,SS08 - 11 - 00,83.11
4374,168171,P235051,SS03 - 04 - 00,78.04
4375,168174,P235054,0000 - 03 - 00,0.03
4376,168177,P235059,SS02 - 09 - 12,77.0912
4377,168178,P235061,AS06 - 11 - 26,72.1126
4378,168184,P235068,AS07 - 11 - 06,73.1106
4379,168186,P235071,AS04 - 07 - 10,70.071
4380,168191,P235076,AS01 - 06 - 00,67.06
4381,168192,P235077,AS01 - 00 - 00,67.0
4382,168200,P235089,AS07 - 10 - 00,73.1
4383,168207,P235215,0000 - 06 - 00,0.06
4385,168222,P235253,SH48 - 00 - 00,66.0
4386,168226,P235279,AS01 - 07 - 26,67.0726
4387,168227,P235281,AS04 - 04 - 19,70.04190000000001
4390,164153,P235323,SS04 - 08 - 03,79.0803
4391,164155,P235325,XXXX - 04//05 - 00,0.04
4392,164160,P235330,SS04 - 09 - 00,79.09
4393,164166,P235336,XXXX - 04//05 - 26,0.0426
4395,164173,P235343,SH43 - 11 - 00,61.11
4396,164177,P235348,SH45 - 09 - 00,63.09
4397,164178,P235349,SH46 - 01 - 03,64.0103
4398,164193,P235364,SH43 - 01 - 08,61.010799999999996
4400,164196,P235367,SH47 - 01 - 20,65.012
4401,164207,P235378,SH48 - 07 - 00,66.07
4402,164208,P235379,SH44 - 09 - 00,62.09
4403,164212,P235383,SH43 - 02 - 00,61.02
4404,164213,P235384,AS03 - 11 - 00,69.11
4405,164216,P235387,SS01 - 12 - 00,76.12
4406,164217,P235388,SH46 - 06 - 00,64.06
4407,164245,P235416,SS08 - 08 - 11,83.08109999999999
4408,164261,P235432,AS05 - 10 - 00,71.1
4409,164264,P235435,SH26 - 11 - 00,44.11
4410,164267,P235438,IS02 - 06 - 16,86.0616
4411,164274,P235445,AS09 - 02 - 21,75.0221
4412,164277,P235448,AS06 - 12 - 00,72.12
4413,164280,P235451,XXXX - XX - 00,0.0
4414,164289,P235460,IS02 - 08 - 03,86.0803
4416,164295,P235466,AS01 - 08 - 00,67.08
4417,164302,P235473,SH45 - 08 - 25,63.082499999999996
4418,164314,P235485,SH46 - 04 - 25,64.0425
4419,164321,P235492,AS02 - 03 - 00,68.03
4421,164339,P235512,SH45 - 09 - 00,63.09
4422,164347,P235520,SS08 - 01 - 00,83.01
4424,164376,P235549,SS03 - 10 - 23,78.1023
4425,164379,P235552,SH42 - 00 - 00 // AS06 - 00 - 00,60.0
4426,164382,P235555,XXXX - 06//07 - XX,0.06
4427,164384,P235557,SH43 - XX - XX,61.0
4428,164390,P235563,SS07 - 02 - 00,82.02
4429,164392,P235565,IS01 - 05 - 28,85.05279999999999
4430,164402,P235575,SH41 - 04 - 00,59.04
4431,164404,P235577,SH45 - 09 - 03,63.090300000000006
4432,164406,P235579,SH44 - 01 - 28,62.0128
4433,164410,P235583,AS02 - 02 - 11,68.02109999999999
4434,164418,P235591,AS07 - XX - XX,73.0
4435,164419,P235592,AS05 - 04 - 30,71.043
4437,164425,P235598,SS02 - 05 - 28,77.05279999999999
4438,164430,P235603,AS05 - 05 - 26,71.0526
4439,164433,P235606,AS05 - 04 - 24,71.0424
4440,164434,P235607,AS02 - 05 - 05,68.0505
4441,164436,P235609,SH40 - 05 - 00,58.05
4442,164447,P235620,AS03 - 05 - 05,69.0505
4443,164450,P235623,AS03 - 11d - 29,69.1129
4444,164462,P235635,XXXX - XX - 11,0.0011
4446,167893,P235719,SS08 - 11 - 00,83.11
4447,167900,P235725,AS08? - XX - XX,0.0
4448,168244,P235793,AS06 - 04 - 25,72.0425
4449,168248,P235893,SH48 - 06 - 11,66.0611
4450,168250,P235895,AS05 - 09 - 15,71.0915
4451,168251,P235896,AS05 - 01 - 05,71.01050000000001
4452,168252,P235897,AS05 - 10 - 06,71.1006
4453,168253,P235898,AS05 - 10 - 15,71.10149999999999
4454,168255,P235900,SH46 - 04 - 16,64.0416
4455,168256,P235901,AS05 - 01 - 22,71.0122
4456,168257,P235902,AS05 - 08 - 23,71.0823
4457,168258,P235903,SH46 - 01 - 05,64.01050000000001
4458,168259,P235904,AS05 - 09 - 22,71.0922
4459,168260,P235905,AS05 - 06 - 14,71.0614
4460,168261,P235906,AS05 - 01 - 07,71.0107
4461,168262,P235907,SH46 - 04 - 25,64.0425
4462,168263,P235908,AS05 - 05 - 09,71.0509
4463,168264,P235909,AS05 - 12 - 28,71.1228
4464,168265,P235910,XXXX - 04//05 - 21,0.0421
4465,168266,P235911,AS05 - 08 - 30,71.083
4466,168267,P235912,AS05 - 09 - 09,71.0909
4467,168269,P235914,SH43 - 01 - 16,61.0116
4468,168270,P235915,AS05 - 06 - 30,71.063
4469,168271,P235916,SH46 - 03 - 00,64.03
4470,168272,P235917,SH48 - 06 - 20,66.062
4471,168273,P235918,AS04 - 02 - 00,70.02
4472,168274,P235919,SH46 - 05 - 18,64.0518
4473,168275,P235920,SH46 - 01 - 05,64.01050000000001
4474,168276,P235921,SH48 - 06 - 19,66.06190000000001
4475,168277,P235922,AS05 - 03 - 08,71.0308
4476,168278,P235923,AS05 - 10 - 23,71.1023
4477,168279,P235924,SH46 - 01 - 00,64.01
4478,168280,P235925,AS05 - 09 - 09,71.0909
4479,168281,P235926,0000 - 03 - 21+,0.0321
4480,168282,P235927,AS05 - 02 - 07,71.02069999999999
4481,168283,P235928,AS05 - 11 - 15,71.11149999999999
4482,168284,P235929,SH47 - 10 - 23,65.1023
4483,168285,P235930,AS05 - 01 - 18,71.01180000000001
4484,168286,P235931,AS05 - 04 - 30,71.043
4485,168287,P235932,AS05 - 08 - 17,71.0817
4486,168288,P235933,SH46 - 05 - 15,64.05149999999999
4487,168289,P235934,AS03 - 00 - 00,69.0
4488,168290,P235935,AS05 - 06 - 09,71.0609
4489,168291,P235936,SH46 - 01 - 01,64.01010000000001
4490,168292,P235937,AS05 - 11 - 20,71.112
4491,168293,P235938,SH48 - 08 - 00,66.08
4492,168294,P235939,AS09 - 06 - 01,75.0601
4493,168295,P235940,SH46 - 07 - 00,64.07
4494,168296,P235941,SH47 - 11 - 16,65.1116
4495,168297,P235942,AS05 - 12 - 10,71.12100000000001
4496,168298,P235943,SH43 - 09 - 27,61.0927
4497,168299,P235944,SH43 - 04 - 07,61.0407
4498,168300,P235945,AS05 - 11 - 22,71.1122
4499,168301,P235946,AS05 - 08 - 28,71.08279999999999
4500,168302,P235947,AS05 - 01 - 24,71.0124
4501,168303,P235948,SH45 - 12 - 00,63.12
4502,168304,P235949,AS02 - 06 - 00,68.06
4503,168306,P235951,SH30 - 02 - 00,48.02
4504,168307,P235952,AS05 - 05 - 30,71.053
4505,168308,P235955,SSXX? - 00 - 05+,0.0005
4506,168309,P235956,SH46 - 03 - 00,64.03
4507,168310,P235957,AS05 - 07 - 28,71.07279999999999
4508,168311,P235958,SH45 - 11 - 00,63.11
4509,168312,P235959,AS05 - 08 - 06,71.0806
4510,168313,P235960,SH48 - 09 - 19,66.09190000000001
4511,168314,P235961,AS05 - 06 - 30,71.063
4512,168315,P235962,AS05 - 03 - 00,71.03
4513,168316,P235963,SH48 - 00 - 00,66.0
4514,168317,P235964,AS05 - 09 - 01,71.0901
4515,168318,P235965,IS03 - 04 - 00,87.04
4516,168319,P235966,IS03 - 04 - 26,87.04260000000001
4517,168320,P235967,IS03 - 08 - 00,87.08
4518,168321,P235968,IS03 - 00 - 00,87.0
4519,168323,P235970,0000 - 00 - 19,0.0019
4520,168324,P235971,SS08 - 04 - 23+,83.04230000000001
4521,168325,P235972,SH48 - 00 - 00,66.0
4522,168235,P249675,XXXX - XX - XX,0.0
4523,168237,P249680,IS01 - 02 - 00,85.02
4524,168240,P249683,SS01 - XX - 00,76.0
4525,174679,P249712,IS01 - XX - 00,85.0
4526,170173,P272652,AS05 - XX - 21,71.0021
4527,170188,P272668,SH47 - 05 - 00,65.05
4528,170228,P272713,SH47 - 00 - 00,65.0
4529,167895,P273270,AS05 - 07 - 08,71.07079999999999
4530,167896,P273271,AS05 - 11 - 00,71.11
4531,167897,P273272,SH47 - 07 - 21,65.07209999999999
4532,167898,P273273,AS07 - 06 - 00,73.06
4533,170344,P273921,SH44 - 06 - 13,62.0613
4534,170361,P273941,AS02 - 03 - 11,68.0311
4535,170364,P273944,SS06 - 00 - 00,81.0
4536,170372,P273952,SS05 - 12d - 29,80.1229
4537,170376,P273957,SS03 - 06 - 00,78.06
4538,170497,P274088,AS05 - 09 - 28,71.0928
4543,190545,P322822,SS05 - 00 - 00,80.0
4544,190497,P323379,SH48 - 06 - 00,66.06
4545,190577,P323810,SS07 - 11 - 28,82.1128
4546,190442,P324003,IS02 - 12 - 00,86.12
4547,190480,P324655,SH41 - 10 - 00,59.1
4548,190345,P325181,AS02 - 07 - 00,68.07
4549,190356,P325215,AS04 - 09m - 00,70.09
4550,190374,P325345,AS07 - 00 - 00,73.0
4551,189805,P325560,SH48 - 06 - 08,66.0608
4552,64033,P332403,XXXX - XX - XX,0.0
4558,190035,P332694,XXXX - XX - XX,0.0
4559,171203,P337412,SS09 - 04 - 00,84.04
4561,170681,P341922,SH46 - 05 - 08,64.0508
4562,174462,P342004,AS07 - 12 - 16,73.1216
4563,174469,P342011,AS09 - 08 - 00,75.08
4564,174503,P342048,AS09 - 06 - 16,75.0616
4565,170770,P342109,SH44 - 04 - 08,62.0408
4566,170790,P342129,SH46 - 01 - 08,64.0108
4567,170823,P345970,SH45 - 08 - 00,63.08
4568,167763,P361560,SH48 - 12 - 30,66.123
4569,196353,P370980,SS05 - 10 - 00,80.1
4570,174663,P373972,AS08 - 05 - 14,74.0514
4571,174664,P373973,SH47 - 05 - 22,65.0522
4572,174667,P373976,AS06 - 01 - 29,72.0129
4573,174668,P373977,AS04 - 10 - 06,70.1006
4574,173039,P387648,IS02 - 08 - 27,86.0827
4575,173054,P387664,SS06 - 01 - 02,81.01020000000001
4576,173062,P387673,SH44 - 12 - 00,62.12
4577,173063,P387674,AS01 - 12 - 00,67.12
4578,173542,P388707,SH38 - 11 - 00,56.11
4794,174627,P392630,SS02 - 06 - 00,77.06
4795,174629,P392632,SH46 - 02 - 00,64.02
4796,174631,P392635,SH42 - 06 - 00 // AS06 - 06 - 00,60.06
4797,174632,P392636,SH46 - 05 - 29,64.0529
4798,174634,P392638,SH46? - 00 - 00,0.0
4799,174638,P392642,AS02 - 03 - 10,68.031
4801,196331,P393047,SH46 - 06 - 06,64.06060000000001
4802,196330,P393048,SH43 - 03 - 00,61.03
4803,196332,P393050,SH47 - 08 - 27,65.0827
4804,196333,P393051,SH45 - 12 - 00,63.12
4806,196335,P393053,SS05 - 02 - 14,80.0214
4807,196336,P393054,AS04 - 11 - 17,70.1117
4808,196338,P393055,SH48 - 01 - 11,66.0111
4809,196339,P393056,AS05 - 02 - 30,71.023
4810,196340,P393057,AS06 - 04 - 25,72.0425
4811,196341,P393059,AS07 - 08 - 01,73.0801
4812,196342,P393060,AS04 - 11 - 01,70.1101
4813,196343,P393063,SS07 - 01 - 06,82.01060000000001
4814,196344,P393064,SS09 - 10 - 23,84.1023
4815,196345,P393065,AS06 - XX - XX,72.0
4817,196347,P393069,AS03 - 00 - 00,69.0
4818,196187,P393148,AS09 - 08 - 00,75.08
4819,196188,P393149,AS06 - 11 - 00,72.11
4820,196191,P393152,XXXX - XX - 00,0.0
4822,196194,P393155,SH47 - 00 - 00,65.0
4823,196195,P393156,ASXX - 03 - 15,0.0315
4824,196186,P393178,0000 - 00 - 20,0.002
4825,196202,P393181,SH43 - 09 - 00,61.09
4826,196203,P393182,AS01 - 02 - 00,67.02
4827,196980,P393598,AS03 - 10 - 29,69.10289999999999
4828,174705,P405489,AS05 - 11 - 00,71.11
4829,174706,P405490,AS06 - 12 - 00,72.12
4830,188429,P406718,SS05 - XX - XX,80.0
4834,188461,P406769,AS09 - 02 - 00,75.02
4835,188462,P406770,SH43 - 12 - 00,61.12
4836,188463,P406771,SS09 - 09 - 26,84.0926
4837,188464,P406772,AS05 - 10 - 02,71.1002
4838,188465,P406773,SH43 - 06 - 05,61.060500000000005
4839,188466,P406774,SH45 - 11 - 17,63.1117
4840,188467,P406775,SH47 - XX - 04,65.0004
4841,188468,P406776,SH48 - 07 - 24,66.07239999999999
4842,188469,P406777,SS04 - 00 - 00,79.0
4843,188470,P406778,SH47 - 08 - 16,65.0816
4844,188473,P406781,SH47 - 06 - 00,65.06
4845,188474,P406782,SS03 - 01 - 00,78.01
4846,188476,P406784,AS09 - 10 - 14,75.1014
4847,188477,P406785,SS07 - 07 - 21,82.07209999999999
4848,188478,P406786,SS01 - 06 - 00,76.06
4849,188479,P406787,IS02 - 11 - 06,86.1106
4850,188480,P406788,AS05 - 02 - 03,71.02029999999999
4851,188481,P406789,SS04 - 00 - 00,79.0
4852,188482,P406790,SH45 - 08 - 21,63.0821
4853,188484,P406792,SS05 - 06 - 02,80.06020000000001
4854,188485,P406793,SS02 - 03 - 00,77.03
4855,188486,P406794,SH46 - 10 - 16,64.10159999999999
4856,188487,P406795,AS09 - 04 - 16,75.0416
4857,188488,P406796,AS05 - 06 - 01,71.0601
4858,188489,P406797,SS08 - 09 - 00,83.09
4859,188490,P406798,SS08 - 08 - 03,83.0803
4860,188491,P406799,SH46 - 10 - 24,64.10239999999999
4861,188492,P406800,SH44 - 04 - 27,62.042699999999996
4862,188493,P406801,SH47 - 07 - XX,65.07
4863,188494,P406802,SS07 - 00 - 00,82.0
4864,188495,P406803,SS04 - 08 - 21,79.0821
4865,188496,P406804,SH47 - 06 - 09,65.0609
4866,188497,P406805,SS07 - 00 - 00,82.0
4867,188498,P406806,SH45 - 12 - 16,63.1216
4868,188499,P406807,SS05 - 10 - 13,80.1013
4869,188500,P406808,SH47 - 03 - 18,65.0318
4870,188501,P406809,AS05 - 07 - 25,71.07249999999999
4871,188502,P406810,SH48 - 09 - 27,66.09270000000001
4872,188503,P406811,SH46 - 02 - 12,64.0212
4873,188504,P406812,SH47 - 10 - 29,65.10289999999999
4874,188505,P406813,SH46 - 06 - 14,64.0614
4875,188506,P406814,AS08 - 04 - 00,74.04
4876,188507,P406815,SS01 - 09 - 11,76.0911
4877,188508,P406816,SS07 - 02 - 12,82.0212
4878,188509,P406817,SH45 - 10 - 26,63.1026
4879,188510,P406818,AS05 - 09 - 02,71.09020000000001
4880,188511,P406819,SH46 - 01 - 17,64.0117
4881,188512,P406820,AS05 - 12 - 25,71.1225
4882,188513,P406821,SH47 - 07 - 25,65.07249999999999
4883,188514,P406822,SH48 - XX - 15,66.0015
4884,188515,P406823,AS02 - 01 - 22,68.0122
4885,188516,P406824,AS05 - 03 - 29,71.0329
4886,188517,P406825,SH48 - 10 - 00,66.1
4887,188518,P406826,AS05 - 04 - 30,71.043
4888,188519,P406827,SH47 - XX - 07,65.0007
4890,188521,P406829,SS04 - 01 - 22,79.0122
4891,188522,P406830,AS05 - 01 - 30,71.013
4892,188523,P406831,AS05 - 06 - 12,71.0612
4893,188524,P406832,AS05 - 01 - 00,71.01
4894,188525,P406833,AS05 - 06 - 29,71.0629
4896,188527,P406835,SH47 - 11 - 02,65.1102
4897,188528,P406836,SH47 - 02 - 26,65.0226
4898,188529,P406837,SH47 - 00 - 00,65.0
4899,188530,P406838,SH47 - 08 - 20,65.082
4900,188531,P406839,AS01 - 10 - 01,67.1001
4901,188532,P406840,SH46 - 04 - 17,64.0417
4902,188533,P406841,SS03 - 12 - 09,78.1209
4903,188534,P406842,SH45 - 12 - 16,63.1216
4904,188535,P406843,SH46 - 02 - 12,64.0212
4906,188537,P406845,SH48 - 01 - 05,66.01050000000001
4907,188538,P406846,SS03 - 02 - 05,78.0205
4908,188539,P406847,AS01 - 05 - 20,67.05199999999999
4910,188541,P406849,AS05 - 04 - 25,71.0425
4911,188542,P406850,XXXX - 07 - 25,0.07250000000000001
4912,188543,P406851,SH46 - 08 - 09,64.0809
4913,188544,P406852,AS05 - 12 - 28,71.1228
4914,188545,P406853,AS08 - 11 - 00,74.11
4915,188547,P406855,SH47 - 02 - 00,65.02
4916,188548,P406856,AS01 - 12 - 02,67.12020000000001
4917,188549,P406857,SH44 - 06m - 16,62.061600000000006
4918,188550,P406859,AS05 - 08 - 13,71.0813
4919,188551,P406860,SH47 - 08 - 17,65.0817
4920,188552,P406861,AS07 - 02 - 01,73.0201
4921,188553,P406862,AS07 - 12 - 03,73.1203
4922,188554,P406863,AS08 - 09 - 03,74.0903
4923,188555,P406864,AS05 - 06 - 17,71.0617
4924,188556,P406865,AS02 - 02 - 04,68.0204
4925,188557,P406866,XXXX - 04//05 - 20+,0.042
4926,188558,P406867,AS06 - 05 - 13,72.0513
4927,188559,P406868,SH47 - 02 - 14,65.0214
